Speaker	With	File	Text	Next line	When	Priority	Weight	Command Id	Target / Caster	Status	Items	Abilities	BattleId	Scenario Min	Scenario Max	Context Flags	Player Solo	Player Team	Enemy Solo	Enemy Team	Self	Enemy	Ally	Single	Multi	Hit	Miss	Dodge	Crit	Hp	Mp	Front Attack	Preemptive	Back Attack	Friendly Battle	Non Friendly Battle	Serious	Boss
Zidane		Intro 39	What do you think team, nice and slow? ...Nah.		BattleStart												x																	x	x			x
Zidane		Attack 1			HitEffect			Attack																					x									
Zidane		Attack 2			HitEffect			Attack																					x									
Zidane		Attack 3			HitEffect			Attack																					x									
Zidane		Attack 4			HitEffect			Attack																					x									
Zidane		Attack 5			HitEffect			Attack																					x									
Zidane		Attack 6			HitEffect			Attack																					x									
Zidane		Attack 7			HitEffect			Attack																					x									
Zidane		Attack 8			HitEffect			Attack																					x									
Zidane		Attack 9			HitEffect			Attack																					x									
Zidane		Attack 10			HitEffect			Attack																					x									
Zidane		Attack 11			HitEffect			Attack																					x									
Zidane		Change Back 1	You guys got that.		ChangeBack												x																					
Zidane		Change Back 2	Need a vantage point.		ChangeBack																																	
Zidane		Change Back 3	I'm gonna step here.		ChangeBack																																	
Zidane		Change Front 1	Time for a little switch-a-roo.		ChangeFront																																	
Zidane		Change Front 2	Back in the frey!		ChangeFront																																	
Zidane		Change Front 3	Taking center stage.		ChangeFront																																	
Zidane		Change Front 4	I'll take the lead.		ChangeFront												x																					
Zidane		Change Front 5	Behind me people.		ChangeFront												x																					
Zidane		Crit 1	Got you!		HitEffect			Attack															x			x	x	x										
Zidane		Crit 2	Dodge this!		HitEffect			Attack															x			x	x	x										
Zidane		Crit 3			HitEffect			Attack																		x	x	x										
Zidane		Crit 4			HitEffect			Attack																		x	x	x										
Zidane		Crit 5			HitEffect			Attack																		x	x	x										
Zidane		Damage 1	That was a cheap shot.		Damaged																x		x		x	x	x	x										
Zidane		Damage 2			Damaged																																	
Zidane		Damage 3			Damaged																																	
Zidane		Damage 4	That's dirty!		Damaged																x		x		x	x	x	x										
Zidane		Damage 5			Damaged																																	
Zidane		Damage 6			Damaged																																	
Zidane		Damage 7			Damaged																																	
Zidane		Damage 8			Damaged																																	
Zidane		Damage 9			Damaged																																	
Zidane		Death 1	Why did it have to end like this.		Added					Death																												
Zidane		Death 2	Let's forget this happened.		Added					Death																												
Zidane		Death 3	It's up to you guys now.		Added					Death																												
Zidane		Death 4	I'm just gonna lay down.		Added					Death																												
Zidane		Death 5	I'll get you for that.		Added					Death																												
Zidane		Death 6	When I wake up, I'll get you..		Added					Death																												
Zidane		Death 7	I leave it to you guys.		Added					Death																												
Zidane		Death 8	Please, don't go through my room..		Added					Death																												
Zidane		Death 9	Guys, don't go through my things..		Added					Death																												
Zidane		Death 10	Why? This can't be...		Added					Death																												
Zidane		Death 11	Guys... I'm sorry.		Added					Death							x																					
Zidane		Defend 1	Can't hit me.		CommandPerform			Defend																														
Zidane		Defend 2	Alright, come on! Try me!		CommandPerform			Defend																														
Zidane		Defend 3	Gimme your best shot.		CommandPerform			Defend																														
Zidane		Defend 4	I can do this all day.		CommandPerform			Defend																														
Zidane		Detect 1	Wonder what we got here.		HitEffect							Detect																										
Zidane		Detect 2	Oh you gotta see this!		HitEffect							Detect																										
Zidane		Detect 3	Hmm, interesting.		HitEffect							Detect																										
Zidane		Detect 4	Aha, so that's how you do it.		HitEffect							Detect																										
Zidane		Detect 5	Well, well. Would ya look at that.		HitEffect							Detect																										
Zidane		Detect 6	Well, well... What do you know.		HitEffect							Detect															x	x										
Zidane		Detect 7	Ah ah, now look at this.		HitEffect							Detect															x	x										
Zidane		Detect 8	Woaw! Hey guys look at this.		HitEffect							Detect					x										x	x										
Zidane		Detect 9	Oh you gotta see this guys.		HitEffect							Detect					x										x	x										
Zidane		Dodge 1	Whoah!		Dodged, Missed																				x													
Zidane		Dodge 2	Na-ah-ahh.		Dodged, Missed																				x													
Zidane		Dodge 3	Ohh, nice moves.		Dodged, Missed																				x													
Zidane		Dodge 4	Not today!		Dodged, Missed																				x													
Zidane		Dodge 5	Too slow.		Dodged, Missed																				x													
Zidane		Dodge 6	Yeah, good luck.		Dodged, Missed																				x													
Zidane		Dodge 7	You blind?		Dodged, Missed																				x													
Zidane		Dodge 8	Close, but no cigar!		Dodged, Missed																				x													
Zidane		Dodge 9	Not a bad try!		Dodged, Missed																				x													
Zidane		Dodge 10	Over here!		Dodged, Missed																				x													
Zidane		Flee 1	Later alligator.		Flee																																	
Zidane		Flee 2	See ya in a while Crocodile.		Flee																																	
Zidane		Flee 3	Yeah, we're outta here.		Flee																																	
Zidane		Flee 4	Hasta la bye bye.		Flee																																	
Zidane		Flee 5	Let's make like a tree and split.		Flee																																	
Zidane		Flee 6	No! No thank you.		Flee																																	
Zidane		Flee 7	See ya! Wouldn't wanna be ya.		Flee																																	
Zidane		Flee 8	Bye! I...I'll call you.		Flee																																	
Zidane		Flee 9	Let's make like a chocobo and wark.		Flee																																	
Zidane		Heal 1	A friend in need?		CommandPerform			Item													x	x																
Zidane		Heal 2	Never hurts to ask for help.		CommandPerform			Item													x	x																
Zidane		Heal 3	I got your back.		CommandPerform			Item													x	x																
Zidane		Heal 4	Don't need a reason to help people.		CommandPerform			Item													x	x																
Zidane		Heal 5	This should help.		CommandPerform			Item													x	x																
Zidane		Heal 6	I'm gonna need to steal more of these...		CommandPerform		50	Item													x	x																
Zidane		Heal 7	I'm gonna need to steal more of these...		CommandPerform		50	Item													x	x																
Zidane		Heal 8	These don't come cheap y'know.		CommandPerform			Item													x	x																
Zidane		Heal Self 1	Can't kick the bucket yet.		CommandPerform			Item														x	x															
Zidane		Healed 1	Ahh, that's the stuff!		Healed				\Steiner													x																
Zidane		Healed 2	Right in the nick of time.		Healed				\Steiner													x			x													
Zidane		Healed 3	I was totally fine, but thanks anyway.		Healed																x	x			x													
Zidane		Healed 4	Woohoo, let's keep it going.		Healed																																	
Zidane		Healed 5	Yeah, keep it comin'.		Healed																x																	
Zidane		Healed 6	Aww, you shouldn't have.		Healed																x																	
Zidane		Kill 1	Didn't see that comin' did ya!		KillEffect																x		x															
Zidane		Kill 2	And you're out!		KillEffect																x		x															
Zidane		Kill 3	Too easy!		KillEffect																x		x															
Zidane		Kill 4	Another one for me!		KillEffect																x		x		x													
Zidane		Kill 5	Have a nice trip!		KillEffect																x		x															
Zidane		Kill 6	Not today!		KillEffect																x		x															
Zidane		Kill 7	Time's up!		KillEffect																x		x															
Zidane		Kill 8	Got you good!		KillEffect																x		x															
Zidane	$Steiner	Kill 9	Keeping count, Steiner?		KillEffect																x		x															
Zidane		Kill 13	Down you go!		KillEffect																x		x															
Zidane		Kill 14	End of the line!		KillEffect																x		x															
Zidane		Kill 15	Another one!		KillEffect																x		x															
Zidane		Kill 16	Damn, I'm good.		KillEffect																x		x															
Zidane		Kill 17	That all you got?		KillEffect																x		x															
Zidane		Kill 18	That'll do it!		KillEffect																x		x															
Zidane		Kill 19	Plus one for me!		KillEffect																x		x		x													
Zidane		Kill 21	Wiped out!		KillEffect																x		x															
Zidane		Kill 22	I just keep winning!		KillEffect																x		x															
Zidane		Kill 23	Say your prayers!		KillEffect																x		x															
Zidane		Kill 24	Bring it on!		KillEffect																x		x															
Zidane		Kill 25	Watch and weep!		KillEffect																x		x															
Zidane:Blind		Kill Blind 1	I can see right through you!		KillEffect																x		x															
Zidane:Blind		Kill Blind 2	Nothin' can stop me!		KillEffect																x		x															
Zidane:Blind		Kill Blind 3	I did it with my eyes closed.		KillEffect																x		x															
Zidane		Low Hp 1	I need a new strategy.		Added					LowHP																												
Zidane		Low Hp 2	Whew.. I'm out of practice.		Added					LowHP											x																	
Zidane		Low HP 3	Just... gimme a sec.		Added					LowHP																												
Zidane		Low HP 4	It's really gonna be like this, huh?		Added					LowHP																												
Zidane		Low HP 5	Not bad..		Added					LowHP																												
Zidane		Low HP 6	Didn't expect that..		Added					LowHP																												
Zidane		Low HP 7	You're a little stronger than I thought..		Added					LowHP																												
Zidane		Low HP 8	Okay, I see you..		Added					LowHP																												
Zidane		Low HP 9	Not so bad after all..		Added					LowHP																												
Zidane		Low HP 10	Could'a done without that..		Added					LowHP																												
Zidane		Lucky Seven 1	Daddy needs a new pair of shoes.		CommandPerform							LuckySeven																										
Zidane		Lucky Seven 2	C'mon win big, win big.		CommandPerform							LuckySeven																										
Zidane		Lucky Seven 3	Go hard or go home.		CommandPerform							LuckySeven																										
Zidane		Lucky Seven 4	Here comes the Luck of the draw.		CommandPerform							LuckySeven																										
Zidane		Lucky Seven 5	Not my favourite number, but let's go!		CommandPerform							LuckySeven																										
Zidane		Lucky Seven 6	Come home, come home , come home.		CommandPerform							LuckySeven																										
Zidane		Lucky Seven 7	Wait, one more pull. I feel it this time.		CommandPerform							LuckySeven																										
Zidane		Lucky Seven 8	Woo, let's go.		CommandPerform							LuckySeven																										
Zidane		Lucky Seven 9	C'mon, let's win.		CommandPerform							LuckySeven																										
Zidane		Lucky Seven 10	Give it, give it!		CommandPerform							LuckySeven																										
Zidane		Medeo 1	Time has come, crash down on the wicked. Medeo!		CommandPerform							Medeo																										
Zidane		Medeo 2	I bring you despair, ruination to all. Medeo!		CommandPerform							Medeo																										
Zidane		Miss 1	Ha, scared ya!		MissEffect, DodgeEffect																x				x													
Zidane		Miss 2	I'll get you next time.		MissEffect, DodgeEffect																x		x		x													
Zidane		Miss 3			MissEffect, DodgeEffect																x		x		x													
Zidane		Miss 4	Aww, you scared of me?		MissEffect, DodgeEffect																x				x													
Zidane		Miss 6	Ah c'mon.		MissEffect, DodgeEffect																x		x		x													
Zidane		Miss 7	I did that on purpose.		MissEffect, DodgeEffect																x				x													
Zidane		Miss 8	Ah dammit.		MissEffect, DodgeEffect																x		x		x													
Zidane		Miss 9	Oh, right, right.		MissEffect, DodgeEffect																x				x													
Zidane		Miss 10			MissEffect, DodgeEffect																x		x		x													
Zidane		Revived 1	Okay, I'm up, I'm up.		Removed					Death				3700																								
Zidane		Revived 2	And he got tagged back in.		Removed					Death																												
Zidane		Revived 3	Guess you guys need me after all.		Removed					Death																												
Zidane		Revived 4	You need the MVP.		Removed					Death																												
Zidane		Revived 5	Thanks, needed that one.		Removed					Death																												
Zidane		Revived 6	*Yawn*, that was a good dream, too.		Removed					Death																												
Zidane		Revived 7	Can't keep doing that..		Removed					Death																												
Zidane		Sacrifice 1	Hey guys, leaving it all up to you.		CommandPerform							Sacrifice																										
Zidane		Sacrifice 2	Don't you dare squander this.		CommandPerform							Sacrifice																										
Zidane		Sacrifice 3	Here it is, my big hero moment.		CommandPerform							Sacrifice																										
Zidane		Sacrifice 4	Guys, it's on you.		CommandPerform							Sacrifice																										
Zidane		Sacrifice 5	Don't forget my great sacrifice, got it?		CommandPerform							Sacrifice																										
Zidane		Sacrifice 6	Alright, you know what to do.		CommandPerform							Sacrifice																										
Zidane		Sacrifice 7	Here, I trust you.		CommandPerform							Sacrifice																										
Zidane		Soul Blade 1	This is gonna sting.		CommandPerform							SoulBlade																										
Zidane		Soul Blade 2	Bit by bit, buddy.		CommandPerform							SoulBlade																										
Zidane		Soul Blade 3	This is gonna hurt.		CommandPerform							SoulBlade																										
Zidane		Soul Blade 4	This is what happens when you tick me off.		CommandPerform							SoulBlade																										
Zidane		Soul Blade 5	Your not gonna like this one.		CommandPerform							SoulBlade																										
Zidane		Steal 1	Yoink!		StealSuccess																																	
Zidane		Steal 2	Sucker!		StealSuccess																																	
Zidane		Steal 3	Mine now!		StealSuccess																																	
Zidane		Steal 4	Don't mind if I do!		StealSuccess																																	
Zidane		Steal 5	Can't help myself.		StealSuccess																																	
Zidane		Steal 6	Easy mark!		StealSuccess																																	
Zidane		Steal 7	Appreciate the donation.		StealSuccess																																	
Zidane		Steal 8	Ohh, nice.		StealSuccess																																	
Zidane		Steal 9	For me? You shouldn't have.		StealSuccess																																	
Zidane		Steal 10	Thaaank you.		StealSuccess																																	
Zidane		Steal 11	I'll take that.		StealSuccess																																	
Zidane		Steal Empty 1	Nada.		StealEmpty																																	
Zidane		Steal Empty 2	Nothing left? Yikes...		StealEmpty																																	
Zidane		Steal Empty 3	Empty..		StealEmpty																																	
Zidane		Steal Fail 1	Thought I had it that time..		StealFail																																	
Zidane		Steal Fail 2	It's only a matter of time.		StealFail																																	
Zidane		Steal Fail 3	Ahh, must've dropped it.		StealFail																																	
Zidane		Steal Fail 4	What are you hiding in there?		StealFail																																	
Zidane		Steal Fail 5	I'll get it, you'll see.		StealFail																																	
Zidane		Steal Fail 6	Did I just get poorer?		StealFail																																	
Zidane		Steal Fail 7			StealFail																																	
Zidane		Tidal Flame 1	Burn it up!		CommandPerform							TidalFlame																										
Zidane		Tidal Flame 2	This will sting!		CommandPerform							TidalFlame																										
Zidane		Tidal Flame 3	Hope you like it hot!		CommandPerform							TidalFlame																										
Zidane		Tidal Flame 4	Burn to a crisp!		CommandPerform							TidalFlame																										
Zidane		Tidal Flame 5	You're on fire!		CommandPerform							TidalFlame																										
Zidane		Trouble 1	You kiss your Mother with that face?		CommandPerform							Annoy																										
Zidane		Trouble 2	Even your Mom can't stand that face.		CommandPerform							Annoy																										
Zidane		Trouble 3	You know you're the weakest one here, right?		CommandPerform							Annoy																										
Zidane		Trouble 4	Buddy, you're barely as threat.		CommandPerform							Annoy																										
Zidane		Trouble 5	If I stole from you, I'd lose money!		CommandPerform							Annoy																										
Zidane		Trouble 6	Don't quit your day job.		CommandPerform							Annoy																										
Zidane		Victory 1	Piece of cake.		VictoryPose																														x			
Zidane		Victory 2	Oh, is that it?		VictoryPose																														x			
Zidane		Victory 3	Better luck next time.		VictoryPose																														x			
Zidane		Victory 4	Didn't even break a sweat.		VictoryPose																														x			
Zidane		Victory 5	Oh, is it over already?		VictoryPose																														x			
Zidane		Victory 6	I rate that fight a... 3.		VictoryPose																														x			
Zidane		Victory 7	Not bad, but I'm still better.		VictoryPose																														x			
!Zidane	$!Steiner:LowHP	Victory 8	Ohh so close, you nearly had Steiner.		VictoryPose		1000																												x			
Zidane		Victory 9	That all of them? Already?		VictoryPose																														x			
Zidane		Victory 10	That wasn't even a warmup.		VictoryPose																														x			
Zidane		Victory 11	Aww, I was having fun.		VictoryPose																														x			
Zidane		Victory 12	Phew, Time flies when you're having fun.		VictoryPose																														x			
Zidane		Victory 13	It's not like we can lose with me around.		VictoryPose																														x			
Zidane		Victory 14	That was fun, we should do it again.		VictoryPose																														x			
Zidane		Victory 15	*Yawns* hopefully the next ones will be a little stronger.		VictoryPose																														x			
Zidane		Victory 16	Jeez, Cinna's hit me harder than that.		VictoryPose																														x			
Zidane		Victory 17	Aww, you really tried, didn't you?		VictoryPose																														x			
Zidane		Victory 18	Can't say we didn't warn you.		VictoryPose																														x			
Zidane		Victory 19	Just like we practised.		VictoryPose																														x			
Zidane		Victory 20	A wins, a win.		VictoryPose																														x			
Zidane		Victory 21	So, what's next?		VictoryPose																														x			
Zidane		What Is That 1	Hey, behind you!		CommandPerform							WhatIsThat																										
Zidane		What Is That 2	What's that, over there!		CommandPerform							WhatIsThat																										
Zidane		What Is That 3	Is that your Mother behind you?		CommandPerform							WhatIsThat																										
Zidane		What Is That 4	Hey look, your food's here.		CommandPerform							WhatIsThat																										
$Zidane	21:450	Heal+1st Black Waltz 1	What's wrong? Hahahah!		Healed																	x	x		x													
Zidane		Steal+Sealion 1	Why does this thing has a dagger?		StealSuccess	100					MythrilDagger																											
21:450	 	21/Ice 1	Feel the cold embrace.		CommandPerform		-100					5																										
21:450		21/Fire 1	Burn! BURN!		CommandPerform		-100					6																										
Steiner		Attack 1			HitEffect			Attack																														
Steiner		Attack 2			HitEffect			Attack																														
Steiner		Attack 3			HitEffect			Attack																														
Steiner		Attack 4			HitEffect			Attack																														
Steiner		Attack 5			HitEffect			Attack																														
Steiner		Damage 1			Damaged																																	
Steiner		Damage 2			Damaged																																	
Steiner		Damage 3			Damaged																																	
Steiner		Damage 4			Damaged																																	
Steiner		Damage 5			Damaged																																	
Steiner		Damage 6			Damaged																																	
Steiner		Death 1	Prin...cess.		Added					Death																												
Steiner		Death 2	This is.. impossible.		Added					Death																												
Steiner		Death 3	This.. cannot.. be.		Added					Death																												
Steiner		Death 4	I refuse to give up..		Added					Death																												
Steiner		Death 5	I'lll, get you.. for that.		Added					Death											x																	
Steiner		Steiner/Defend+Zidane 1_A	You are no match for my armor.	Steiner/Defend+Zidane 1_B	CommandPerform		200					Defend					x																				x	
!Zidane		Steiner/Defend+Zidane 1_B	Can't break what's already broken.	Steiner/Defend+Zidane 1_C	Chain												x																					
Steiner		Steiner/Defend+Zidane 1_C	I heard that, monkey!		Chain												x																					
Steiner		Defend 1	My defense is impenetrable!		CommandPerform							Defend																										
Steiner		Defend 2	I shall not lose to the likes of you!		CommandPerform							Defend																										
Steiner		Defend 3	Hurt me if you can.		CommandPerform							Defend																										
Steiner		Defend 4	You shall never hurt me.		CommandPerform							Defend																										
Steiner		Healed Ally 1	You are too kind.		Healed																x																	
Steiner		Healed Garnet 1	Thank you princess.		Healed				Garnet												x																	
Steiner		Healed Vivi 1	Thank you master Vivi.		Healed				Vivi												x				x													
Steiner		Healed Zidane 1	I don't need your help.		Healed	1			Zidane												x				x													
Steiner	$Garnet	Intro+Garnet 1	You may NOT harm the Princess!		BattleStart												x																x	x	x			
Steiner	$Garnet	Intro+Garnet 2	You dare attack the Princess!?		BattleStart												x																x	x	x			
Steiner	$Garnet	Intro+Garnet 3	Princess! Please be careful!		BattleStart												x																	x	x			
Steiner		Intro 1	How DARE you get in my way.		BattleStart																													x	x			x
Steiner		Intro 2	Step aside!		BattleStart																													x	x			x
Steiner		Intro 3	Do you wish to die???		BattleStart																												x	x	x			x
Steiner		Intro Team 1	Fear not, I shall dispose of this!		BattleStart												x																	x	x			x
Steiner		Kill 1	Away with you!		KillEffect																x		x															
Steiner		Kill 2	Aha!		KillEffect																x		x															
Steiner		Kill 3	Vile creature!		KillEffect																x		x															
Steiner		Kill 4	Get out of my way!		KillEffect																x		x															
Steiner		Kill 5	Is that all you have?		KillEffect																x		x															
Steiner		Low HP 1	Tis.... but a...flesh wound.		Added					LowHP																												
Steiner		Low HP 2	This.. is nothing!		Added					LowHP																												
Steiner		Low HP 3	Is that all you!.. *cough*... all you got?		Added					LowHP													x															
Steiner		Low HP 4	I just.. need a moment.		Added					LowHP																												
!Vivi	Steiner	Steiner/Magic Sword 1_A	Steiner, the sword magic thingy!	Steiner/Magic Sword 1_B	CommandPerform			MagicSword									x																					
Steiner		Steiner/Magic Sword 1_B	Great idea!		Chain												x																					
!Vivi	Steiner	Steiner/Magic Sword 2	I hope this sword magic thingy works!	Steiner/Attack 4	CommandPerform			MagicSword									x																					
!Vivi	Steiner	Steiner/Magic Sword 3_A	Will this sword magic stuff work?	Steiner/Magic Sword 3_B	CommandPerform			MagicSword									x																					
Steiner		Steiner/Magic Sword 3_B	Of course!		Chain												x																					
Steiner		Steiner/Magic Sword 4_A	Master Vivi, a little assistance?	Steiner/Magic Sword 4_B	CommandPerform			MagicSword									x																					
!Vivi		Steiner/Magic Sword 4_B	We'll do the sword magic thingy!		Chain												x																					
Steiner		Magic Sword 5	Try avoiding this!		CommandPerform			MagicSword																														
Steiner		Miss 1	Oh dammit.		MissEffect																x		x															
Steiner		Miss 2	I'll get you for that!		MissEffect																x		x															
Steiner		Miss 3	How dare you avoid me!		DodgeEffect																x		x															
Steiner		Miss 4	Blast it!		MissEffect																x		x															
Steiner		Miss 5	Grrrr! Useless good for nothing!		MissEffect																x		x															
Steiner		Miss 6	I will have your head for that!		DodgeEffect																x		x															
Steiner		Miss 7	You'll regret that.		DodgeEffect																x		x															
Steiner:Blind		Miss Blind 1	I WILL find you!		MissEffect, DodgeEffect	1															x		x															
Steiner:Blind		Miss Blind 2	I've had enough of this!		MissEffect, DodgeEffect	1															x		x															
Steiner:Blind		Miss Blind 3	Oh for the love of...		MissEffect, DodgeEffect	1															x		x															
Steiner:Blind		Miss Blind 4	Blast this stupid thing.		MissEffect, DodgeEffect	1															x		x															
Steiner:Blind		Miss Blind 5	I will beat your stupid tricks!		MissEffect, DodgeEffect	1															x		x															
Steiner		Potion Garnet 1	Here princess. Please, stay back.		CommandPerform		400	Item	Garnet								x				x	x			x													
Steiner		Potion Garnet 2	It is alright princess, I'm here for you.		CommandPerform		400	Item	Garnet								x				x	x			x													
Steiner		Potion Garnet 3	I will assist you princess!		CommandPerform		400	Item	Garnet								x				x	x			x													
Steiner		Potion Self 1	You must do better than that.		CommandPerform			Item														x	x		x													
Steiner		Potion Self 2	I will not lose.		CommandPerform			Item														x	x		x													
Steiner		Potion Self 3	Ah! You cannot hurt me.		CommandPerform			Item														x	x		x													
Steiner		Potion Self 4	Whew... That's better.		Healed			Item														x	x		x													
Steiner		Potion Vivi 1	Master Vivi, please take care!		CommandPerform			Item	Vivi												x	x			x													
Steiner		Potion Vivi 2	You must take care of yourself master Vivi.		CommandPerform			Item	Vivi												x	x			x													
Steiner		Potion Vivi 3	Do not fear master Vivi!		CommandPerform			Item	Vivi												x	x			x													
Steiner		Potion Zidane 1	This is NOT for your sake.		CommandPerform			Item	Zidane												x	x			x													
Steiner		Potion Zidane 2	Don't think for a second that this changes things.		CommandPerform			Item	Zidane												x	x			x													
Steiner	!Garnet	Steiner/Potion Zidane 3_A	If it were up to me I'll let you die...	Steiner/Potion Zidane 3_B	CommandPerform			Item	Zidane												x	x			x													
!Garnet		Steiner/Potion Zidane 3_B	STEINER!	Steiner/Potion Zidane 3_C	Chain																																	
Steiner		Steiner/Potion Zidane 3_C	Yes Ma'am.		Chain																																	
Steiner		Revived 1	Huh? What happened?		Removed					Death																												
Steiner		Revived 2			Removed					Death																												
Steiner		Revived 3	I am fine, do not worry.		Removed					Death																												
Steiner		Revived 4	You thought you beat me? Ha!		Removed					Death																												
Steiner		Sword Art 1	You're looking a little injured.		CommandPerform			SwordAct																														
Steiner		Sword Art 2	Now I've got you!		CommandPerform			SwordAct																														
Steiner		Sword Art 3	Time to strike!		CommandPerform			SwordAct																														
Steiner		Sword Art 4	This will end you!		CommandPerform			SwordAct																														
Steiner		Sword Art 5	You'll regret fighting me!		CommandPerform			SwordAct																														
Steiner		Sword Art 6	For Alexandria!		CommandPerform			SwordAct																														
Steiner		Trance 1	You shall not take another step.		TranceEnter																																	
Steiner		Trance 2	I will vanquish you!		TranceEnter																																	
Steiner		Trance 3	Do not underestimate me!		TranceEnter																																	
Steiner		Trance 4	This ends here!		TranceEnter																																	
Steiner		Trance 5	I must protect the Princess.		TranceEnter																																	
Steiner		Trance 6	For the honor of Alexandria's knights of Pluto!		TranceEnter																																	
!Steiner	$!Garnet:LowHP	Victory+Garnet 1	Princess! Are you alright?		VictoryPose		1000										x																		x			
Steiner		Victory 1	That better be the last of them.		VictoryPose																														x			
Steiner		Victory 2	That'll teach them some manners.		VictoryPose																														x			
Steiner		Victory Team 1	We must keep moving!		VictoryPose												x																		x			
Steiner		Victory Team 2	Why must we have to keep doing this!		VictoryPose												x																		x			
:298		Steiner/Attack 1			HitEffect																																	
:298		Steiner/Attack 2			HitEffect																																	
:298		Steiner/Attack 3			HitEffect																																	
:298		Steiner/Attack 4			HitEffect																																	
:298		Steiner/Attack 5			HitEffect																																	
:298		Steiner/Damage 1			Damaged																																	
:298		Steiner/Damage 2			Damaged																																	
:298		Steiner/Damage 3			Damaged																																	
:298		Steiner/Damage 4			Damaged																																	
:298		Steiner/Damage 5			Damaged																																	
:298		Steiner/Kill 1	Away with you!		KillEffect																																	
:298		Steiner/Kill 2	Aha!		KillEffect																																	
:298		Steiner/Kill 4	Get out of my way!		KillEffect																																	
:298		Steiner/Miss 1	Oh dammit.		MissEffect, DodgeEffect																																	
:298		Steiner/Miss 3	How dare you avoid me!		MissEffect, DodgeEffect																																	
:298		Steiner/Miss 4	Blast it!		MissEffect, DodgeEffect																																	
:298		Steiner/Robbed 1	Hey! Give that back!		Ability							Steal																										
:298		Steiner/Robbed 2	What do you think you're doing?		Ability	1					NoItem	Steal																										
:298		Steiner/Robbed 3	You disgusting thief!		Ability	1					NoItem	Steal																										
:298		Steiner/Robbed 4	That's mine!		Ability							Steal																										
:298		Steiner/Robbed 5	How dare you!		Ability	1					NoItem	Steal																										
Vivi		Attack 1			HitEffect			Attack																														
Vivi		Attack 2			HitEffect			Attack																														
Vivi		Attack 3	Bonk!		HitEffect			Attack															x														x	
Vivi		Attack 4			HitEffect			Attack																														
Vivi		Attack 5			HitEffect			Attack																														
Vivi		Blizzard 1	Blizzard!		CommandPerform							Blizzard, Blizzara, Blizzaga																										
Vivi		Blizzard Scared 1	Uh.. I - I'll use my ice magic.		CommandPerform							Blizzard, Blizzara, Blizzaga																										
